name_canon,date,P_mm,ET0_1d_mm,P_minus_ET0_1d_mm,P_minus_ET0_1d_mm_7d,P_minus_ET0_1d_mm_14d,P_minus_ET0_1d_mm_30d
Pasto_viejo_4,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Pasto_viejo_6,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Pasto_viejo_7,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Pasto_viejo_8,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_03,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_03,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_13,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_01,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Enfermeria,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_11,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_12,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_09,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_10,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_09_B,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Pasto_viejo_1,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_09,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_10,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_11,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_01,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_15,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
La Divisa_05,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Pasto_viejo_5,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Pecho_de_paloma_01,2025-07-17,0.0,2.349451184272766,-2.349451184272766,26.096664537083022,70.00802830945362,275.6091875352643
Guasimal_z_01,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_03,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_04,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_05,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_06,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_07,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_11,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_12,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_04,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Pasto_viejo_z_6,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_02,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_08,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_z_14,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_01,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_02,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_06,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_07,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_08,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Pasto_viejo_z_2,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Pasto_viejo_z_3,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Pasto_viejo_z_4,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Pasto_viejo_z_7,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Pasto_viejo_z_8,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_z_03,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_02,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_04,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_05,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_06,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_07,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_08,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
Guasimal_14,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_02,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_04,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_06,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_07,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
La Divisa_08,2025-07-18,51.169737035577946,4.777044057846069,46.39269297773188,25.19775068218058,109.6173357990655,325.69025318460024
